First,Last,Inning,Home_Score,Away_Score,Runners_on_Base,Event_Outcome,RBIs_Scored,Max_RBIs_Possible,Situational_Factor,Event_Score,Situational_Score
Denard,Span,1,0,0,0,Strikeout,0,1,1,-0.5,-0.5
Orlando,Hudson,1,0,0,0,"Generic Out",0,1,1,-0.2,-0.2
Joe,Mauer,1,0,0,0,"Generic Out",0,1,1,-0.2,-0.2
Erick,Aybar,1,0,0,0,"Nonintentional Walk",0,1,1,0.3,0.3
Bobby,Abreu,1,0,0,1,"Generic Out",0,2,1,-0.2,-0.2
Torii,Hunter,1,0,0,1,"Wild Pitch",0,2,1,0,0
Torii,Hunter,1,0,0,1,"Nonintentional Walk",0,2,1,0.3,0.3
Hideki,Matsui,1,0,0,2,"Generic Out",0,3,1,-0.2,-0.2
Kendrys,Morales,1,0,0,2,Single,1,3,1,1,1.33333
Juan,Rivera,1,1,0,2,Single,1,3,0.5,1,0.666667
Howie,Kendrick,1,2,0,2,"Generic Out",0,3,0.333333,-0.2,-0.0666667
Justin,Morneau,2,2,0,0,Single,0,1,0.666667,1,0.666667
Michael,Cuddyer,2,2,0,1,Strikeout,0,2,0.666667,-0.5,-0.333333
Jason,Kubel,2,2,0,1,"Generic Out",0,2,0.666667,-0.2,-0.133333
Delmon,Young,2,2,0,1,Homerun,2,2,0.666667,4,3.33333
J.J.,Hardy,2,2,2,0,"Generic Out",0,1,2,-0.2,-0.4
Brandon,Wood,2,2,2,0,Strikeout,0,1,2,-0.5,-1
Jeff,Mathis,2,2,2,0,Homerun,1,1,2,4,10
Erick,Aybar,2,3,2,0,"Generic Out",0,1,1,-0.2,-0.2
Bobby,Abreu,2,3,2,0,"Generic Out",0,1,1,-0.2,-0.2
Nick,Punto,3,3,2,0,"Generic Out",0,1,1.5,-0.2,-0.3
Denard,Span,3,3,2,0,Strikeout,0,1,1.5,-0.5,-0.75
Orlando,Hudson,3,3,2,0,Double,0,1,1.5,2,3
Joe,Mauer,3,3,2,1,Strikeout,0,2,1.5,-0.5,-0.75
Torii,Hunter,3,3,2,0,Strikeout,0,1,1.5,-0.5,-0.75
Hideki,Matsui,3,3,2,0,"Generic Out",0,1,1.5,-0.2,-0.3
Kendrys,Morales,3,3,2,0,"Generic Out",0,1,1.5,-0.2,-0.3
Justin,Morneau,4,3,2,0,Strikeout,0,1,2,-0.5,-1
Michael,Cuddyer,4,3,2,0,"Generic Out",0,1,2,-0.2,-0.4
Jason,Kubel,4,3,2,0,Strikeout,0,1,2,-0.5,-1
